https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1664755200000,2022-10-03 00:00:00,DOGE/USDC,0.05929,0.06031,0.0587,0.06031,281.90592027,4734.467,276.43928027,4642.467,7,0.059548151201124469
1664668800000,2022-10-02 00:00:00,DOGE/USDC,0.06078,0.06078,0.05976,0.05993,280.29164492,4658.001,271.72622492,4515.001,16,0.060176602909218814
1664582400000,2022-10-01 00:00:00,DOGE/USDC,0.06182,0.0619,0.06047,0.06048,804.76607383,13128.945,333.91164432,5457.096,16,0.061302627709623782
1664496000000,2022-09-30 00:00:00,DOGE/USDC,0.06074,0.06208,0.06074,0.06208,284.43384378,4645.202,284.43384378,4645.202,4,0.061236928060548673
1664409600000,2022-09-29 00:00:00,DOGE/USDC,0.06062,0.06091,0.05973,0.05973,76.75620871,1279.123,52.95237717,886.529,4,0.060009804836613847
1664323200000,2022-09-28 00:00:00,DOGE/USDC,0.05931,0.0607,0.05915,0.0607,655.73947934,11015.003,320.41865424,5367.474,15,0.059534476117248197
1664236800000,2022-09-27 00:00:00,DOGE/USDC,0.06113,0.06265,0.06011,0.06011,406.05002809,6522.803,338.05382716,5404.928,7,0.062258339882665513
1664150400000,2022-09-26 00:00:00,DOGE/USDC,0.06151,0.06161,0.05991,0.06064,406.37288269,6639.634,64.20144784,1058.731,9,0.061209476104852293
1664064000000,2022-09-25 00:00:00,DOGE/USDC,0.0631,0.06325,0.06106,0.06121,827.05591635,13322.679,383.0505061,6125.129,10,0.062085864582359683
1663977600000,2022-09-24 00:00:00,DOGE/USDC,0.06313,0.068,0.06313,0.06329,3388.51992497,51869.477,3352.97984927,51326.067,46,0.065348754739221404
1663891200000,2022-09-23 00:00:00,DOGE/USDC,0.06147,0.06351,0.06014,0.06351,692.35465531,11206.962,686.53993507,11110.628,15,0.061799684838160575
1663804800000,2022-09-22 00:00:00,DOGE/USDC,0.05703,0.05932,0.05702,0.05932,469.88679184,8078.273,286.60360814,4864.568,10,0.058185437253522693
1663718400000,2022-09-21 00:00:00,DOGE/USDC,0.05843,0.06037,0.05632,0.05718,3603.67382594,61554.395,1658.96272994,28179.322,46,0.058554403981649758
1663632000000,2022-09-20 00:00:00,DOGE/USDC,0.05832,0.05964,0.058,0.05813,414.1929292,7104.216,172.44533334,2943.064,8,0.058305029496820775
1663545600000,2022-09-19 00:00:00,DOGE/USDC,0.05706,0.05858,0.056,0.05839,2562.50614991,45365.11,247.42639662,4287.58,37,0.056493963348033457
1663459200000,2022-09-18 00:00:00,DOGE/USDC,0.0612,0.0612,0.05699,0.05723,597.52587372,10233.496,137.16108927,2255.436,41,0.058426846659772113
1663372800000,2022-09-17 00:00:00,DOGE/USDC,0.06063,0.06063,0.06059,0.06059,31.77534212,524.412,0,0,2,0.060592326029879422
1663286400000,2022-09-16 00:00:00,DOGE/USDC,0.05856,0.06039,0.05843,0.06039,1139.82450227,19305.694,423.87351172,7135.589,17,0.059044320350093445
1663200000000,2022-09-15 00:00:00,DOGE/USDC,0.06061,0.06061,0.05866,0.05872,897.25961688,15016.73,488.438395,8146.84,19,0.059758558197445569
1663113600000,2022-09-14 00:00:00,DOGE/USDC,0.06086,0.06124,0.06086,0.06089,146.39739719,2398.553,101.34224898,1658.579,5,0.061036254198634498
1663027200000,2022-09-13 00:00:00,DOGE/USDC,0.0632,0.06373,0.05933,0.06019,2913.34838415,48294.56,1458.6094113,23911.886,19,0.060352497326935691
1662940800000,2022-09-12 00:00:00,DOGE/USDC,0.06342,0.06467,0.06232,0.06347,1154.96180996,18196.785,644.34389675,10068.932,17,0.063478700036083395
1662854400000,2022-09-11 00:00:00,DOGE/USDC,0.06514,0.06515,0.06363,0.06419,648.42256881,10122.362,648.42256881,10122.362,11,0.064060292338613454
1662768000000,2022-09-10 00:00:00,DOGE/USDC,0.06404,0.06496,0.06256,0.06496,3123.54027258,48724.633,1592.57926694,24716.877,16,0.064109050735872546
1662681600000,2022-09-09 00:00:00,DOGE/USDC,0.06176,0.06416,0.06176,0.06356,488.94266444,7764.345,436.59262316,6932.396,12,0.062982946354037744
1662595200000,2022-09-08 00:00:00,DOGE/USDC,0.06092,0.0611,0.06051,0.06096,350.74897056,5757.464,200.51816167,3288.651,5,0.060921427862266851
1662508800000,2022-09-07 00:00:00,DOGE/USDC,0.05845,0.06096,0.05795,0.06096,2056.30899016,34431.171,711.74652369,12011.954,32,0.059729421958408242
1662422400000,2022-09-06 00:00:00,DOGE/USDC,0.06311,0.06474,0.05911,0.05911,4196.34406441,65661.502,4194.45530833,65631.574,13,0.063956248061576873
1662336000000,2022-09-05 00:00:00,DOGE/USDC,0.06357,0.06357,0.06147,0.06186,364.96401333,5904.281,236.72533291,3825.531,10,0.061815207223198417
1662249600000,2022-09-04 00:00:00,DOGE/USDC,0.06272,0.06353,0.0624,0.06285,6940.34092054,110503.901,2073.73858724,33012.089,42,0.062807523697234438
1662163200000,2022-09-03 00:00:00,DOGE/USDC,0.06194,0.06293,0.0613,0.06254,5195.90188447,84127.225,3210.51782629,51873.47,50,0.061766294644036289
1662076800000,2022-09-02 00:00:00,DOGE/USDC,0.06224,0.06252,0.06097,0.06148,517.52440592,8372.132,220.22453803,3566.061,11,0.061820557310858579
1661990400000,2022-09-01 00:00:00,DOGE/USDC,0.06144,0.06239,0.05997,0.06209,1234.07134219,20142.695,204.02539829,3332.809,25,0.061278318810869049
1661904000000,2022-08-31 00:00:00,DOGE/USDC,0.06213,0.06311,0.06152,0.06178,1296.90662252,20777.695,134.98186621,2164.645,14,0.062423834829358749
1661817600000,2022-08-30 00:00:00,DOGE/USDC,0.06421,0.06483,0.0607,0.06184,1201.08567113,19228.277,231.90585638,3726.119,26,0.062481760067529156
1661731200000,2022-08-29 00:00:00,DOGE/USDC,0.06171,0.06463,0.06108,0.06361,471.92817742,7583.39,212.09964584,3338.575,8,0.06225772931506345
1661644800000,2022-08-28 00:00:00,DOGE/USDC,0.06403,0.06418,0.0615,0.0615,2139.2027268,33616.668,1856.49434558,29144.436,21,0.063636828646070041
1661558400000,2022-08-27 00:00:00,DOGE/USDC,0.06339,0.06406,0.06247,0.06247,1665.61320667,26162.135,693.70997893,10864.799,44,0.06366739980273747
1661472000000,2022-08-26 00:00:00,DOGE/USDC,0.0675,0.06889,0.063,0.063,1315.43137697,20100.005,591.20095539,9028.262,37,0.065477361298917237
1661385600000,2022-08-25 00:00:00,DOGE/USDC,0.06811,0.07131,0.06811,0.07131,285.6628468,4159.092,26.28256571,370.46,47,0.068692298101283908
1661299200000,2022-08-24 00:00:00,DOGE/USDC,0.06847,0.0694,0.06705,0.06778,1219.51678036,17992.27,102.76960382,1514.82,166,0.0677867208075967
1661212800000,2022-08-23 00:00:00,DOGE/USDC,0.06879,0.14,0.06691,0.06844,1645.66106735,22916.352,1267.79122408,17379.114,117,0.073266680241991482
