https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1584921600000,2020-03-23 00:00:00,XRP/USDC,0.14760658,0.16160489,0.14546775,0.15909555,179309.01342567,1182689.88324972,0,0,0,0.15161118
1584835200000,2020-03-22 00:00:00,XRP/USDC,0.15753318,0.1613443,0.14663149,0.14784298,48061.11129429,313017.10894593,0,0,0,0.15354148
1584748800000,2020-03-21 00:00:00,XRP/USDC,0.15580272,0.16184509,0.15195521,0.15817476,41811.76196362,267442.86144912,0,0,0,0.15633904
1584662400000,2020-03-20 00:00:00,XRP/USDC,0.16570982,0.1750013,0.14546775,0.15628291,166913.9529436,1013614.05602255,0,0,0,0.16467209
1584576000000,2020-03-19 00:00:00,XRP/USDC,0.14780454,0.17333974,0.145,0.16541339,195343.57777404,1226688.56499474,0,0,0,0.15924463
1584489600000,2020-03-18 00:00:00,XRP/USDC,0.14841091,0.14948632,0.14090386,0.14770871,52597.65932972,363190.82687451,0,0,0,0.144821
1584403200000,2020-03-17 00:00:00,XRP/USDC,0.14203164,0.15248866,0.14090441,0.14780454,106600.91454383,722749.98442323,0,0,0,0.14749348
1584316800000,2020-03-16 00:00:00,XRP/USDC,0.15242767,0.15242767,0.12700699,0.14067134,146121.50247797,1054217.29751413,0,0,0,0.13860662
1584230400000,2020-03-15 00:00:00,XRP/USDC,0.14602191,0.16384212,0.14431349,0.15364709,161194.89035943,1059360.09443901,0,0,0,0.1521625
1584144000000,2020-03-14 00:00:00,XRP/USDC,0.15863327,0.16118155,0.14388482,0.14539742,66105.33209707,433133.42005795,0,0,0,0.15262117
1584057600000,2020-03-13 00:00:00,XRP/USDC,0.13684466,0.16728853,0.10800077,0.15990234,672785.21282519,4698304.47475552,0,0,0,0.14319744
1583971200000,2020-03-12 00:00:00,XRP/USDC,0.20680346,0.20724106,0.12825501,0.13751488,454918.76131348,2810984.11042659,0,0,0,0.16183611
1583884800000,2020-03-11 00:00:00,XRP/USDC,0.2125399,0.21301367,0.19978854,0.20754865,58344.59661345,283819.00244548,0,0,0,0.20556973
1583798400000,2020-03-10 00:00:00,XRP/USDC,0.20950058,0.21540601,0.20607406,0.21184723,48447.0520126,230449.37205117,0,0,0,0.21022861
1583712000000,2020-03-09 00:00:00,XRP/USDC,0.20495407,0.21169896,0.19573375,0.20822418,88629.43049996,434867.88828046,0,0,0,0.20380771
1583625600000,2020-03-08 00:00:00,XRP/USDC,0.236,0.236,0.20001003,0.2034061,233756.38121854,1093632.80532489,0,0,0,0.21374302
1583539200000,2020-03-07 00:00:00,XRP/USDC,0.24446911,0.2450155,0.23555975,0.2355952,91686.60111574,382119.84738109,0,0,0,0.239942
1583452800000,2020-03-06 00:00:00,XRP/USDC,0.23993462,0.24565332,0.23899084,0.24538778,28593.84375653,117668.04695148,0,0,0,0.24300432
1583366400000,2020-03-05 00:00:00,XRP/USDC,0.23557074,0.24276192,0.2351666,0.23943948,44595.59899653,186022.70304829,0,0,0,0.23973202
1583280000000,2020-03-04 00:00:00,XRP/USDC,0.23359942,0.23824674,0.23102597,0.23425278,119064.30148623,506625.96079065,0,0,0,0.23501421
1583193600000,2020-03-03 00:00:00,XRP/USDC,0.238,0.2384287,0.23003338,0.23552298,56556.93805032,240724.03595653,0,0,0,0.23494512
1583107200000,2020-03-02 00:00:00,XRP/USDC,0.22704946,0.24099999,0.22704946,0.23944817,36249.68536908,153578.33693091,0,0,0,0.23603384
1583020800000,2020-03-01 00:00:00,XRP/USDC,0.23141654,0.23510923,0.22222242,0.22851245,42408.36544855,185839.11798368,0,0,0,0.22819934
1582934400000,2020-02-29 00:00:00,XRP/USDC,0.23886979,0.24174418,0.22912529,0.22912529,23918.80397146,101996.28730673,0,0,0,0.23450661
1582848000000,2020-02-28 00:00:00,XRP/USDC,0.2384287,0.24322111,0.22912529,0.23711673,76386.53867676,321985.58971443,0,0,0,0.23723589
1582761600000,2020-02-27 00:00:00,XRP/USDC,0.22848331,0.24698934,0.22387012,0.23767737,124501.61519709,528294.78262058,0,0,0,0.23566694
1582675200000,2020-02-26 00:00:00,XRP/USDC,0.2534073,0.25436334,0.2231,0.22834861,233774.31084773,992682.79135579,0,0,0,0.23549749
1582588800000,2020-02-25 00:00:00,XRP/USDC,0.26832765,0.26958598,0.25101005,0.25276953,144020.07101972,555262.72238444,0,0,0,0.25937284
1582502400000,2020-02-24 00:00:00,XRP/USDC,0.2844816,0.28508898,0.26421886,0.27110333,114535.73466076,421381.33848309,0,0,0,0.27181017
1582416000000,2020-02-23 00:00:00,XRP/USDC,0.27565146,0.28519169,0.27565146,0.28415524,94258.60473952,335231.35686284,0,0,0,0.28117478
1582329600000,2020-02-22 00:00:00,XRP/USDC,0.27486324,0.27815748,0.27000405,0.27565146,24716.69900875,89760.78249466,0,0,0,0.27536189
1582243200000,2020-02-21 00:00:00,XRP/USDC,0.26988372,0.27939679,0.26757625,0.27458055,55851.02486908,204176.34506476,0,0,0,0.27354307
1582156800000,2020-02-20 00:00:00,XRP/USDC,0.2751942,0.28019033,0.26199999,0.27153184,129248.58822566,478740.96681432,0,0,0,0.26997603
1582070400000,2020-02-19 00:00:00,XRP/USDC,0.29855978,0.30738103,0.271,0.27611941,177061.55722816,603697.06111371,0,0,0,0.29329537
1581984000000,2020-02-18 00:00:00,XRP/USDC,0.28765443,0.30327871,0.2669051,0.30043562,662819.42279849,2278755.14247524,0,0,0,0.29086908
1581897600000,2020-02-17 00:00:00,XRP/USDC,0.29250453,0.29542737,0.26941204,0.28791618,269080.5477921,953381.86643591,0,0,0,0.28223795
1581811200000,2020-02-16 00:00:00,XRP/USDC,0.30579129,0.31818402,0.27,0.29541966,487319.15687964,1653672.88161222,0,0,0,0.29468896
1581724800000,2020-02-15 00:00:00,XRP/USDC,0.3373441,0.34576566,0.29495517,0.3065049,284713.19077665,891713.81543075,0,0,0,0.31928763
1581638400000,2020-02-14 00:00:00,XRP/USDC,0.32838371,0.3395327,0.31093867,0.33692247,217856.29044693,671149.2165025,0,0,0,0.32460186
1581552000000,2020-02-13 00:00:00,XRP/USDC,0.30882626,0.33867812,0.30047308,0.32845493,854400.63070244,2635573.10319451,0,0,0,0.3241802
1581465600000,2020-02-12 00:00:00,XRP/USDC,0.28270048,0.30882628,0.28270048,0.30576859,273099.27408852,925079.90973158,0,0,0,0.29521695
1581379200000,2020-02-11 00:00:00,XRP/USDC,0.2724,0.284,0.26723683,0.28132012,120475.90716158,434147.64002033,0,0,0,0.27749985
1581292800000,2020-02-10 00:00:00,XRP/USDC,0.28365784,0.28365784,0.26730141,0.2725834,119364.22216666,437353.63087043,0,0,0,0.27292381
1581206400000,2020-02-09 00:00:00,XRP/USDC,0.27745854,0.289,0.27680832,0.28286791,103088.23945945,363998.09311394,0,0,0,0.28321093
1581120000000,2020-02-08 00:00:00,XRP/USDC,0.27723676,0.28137027,0.26437717,0.27853727,103428.05250077,375048.72071625,0,0,0,0.27577231
1581033600000,2020-02-07 00:00:00,XRP/USDC,0.2823322,0.28751358,0.2771064,0.27965434,196350.9213468,698202.25973667,0,0,0,0.28122355
1580947200000,2020-02-06 00:00:00,XRP/USDC,0.27821888,0.28804437,0.26817443,0.28333716,527778.56155492,1875618.03669064,0,0,0,0.28138914
