https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1562544000000,2019-07-08 00:00:00,ETH/USDC,306.96329933,315,302.6,313.36044727,454328.7015766,1472.20777605,0,0,0,308.60365565
1562457600000,2019-07-07 00:00:00,ETH/USDC,286.75000009,310.37110413,284.90128901,305.86499004,273555.73674346,902.7085948,0,0,0,303.03880822
1562371200000,2019-07-06 00:00:00,ETH/USDC,286.5710011,297.76349996,286.00000002,286.557486,100856.06352714,345.52307208,0,0,0,291.89386086
1562284800000,2019-07-05 00:00:00,ETH/USDC,281.79386432,294.808833,280.76330999,287.77350101,265365.85185279,925.00933947,0,0,0,286.87910546
1562198400000,2019-07-04 00:00:00,ETH/USDC,303.17275524,303.99999999,280.53367181,282.52549233,344103.49210152,1170.17823919,0,0,0,294.06075124
1562112000000,2019-07-03 00:00:00,ETH/USDC,292.38361979,303,290,302.43792585,1115084.59594556,3799.46144076,0,0,0,293.48490919
1562025600000,2019-07-02 00:00:00,ETH/USDC,293.98748309,295.5,271.9388187,290.5344815,738759.20686554,2600.44815354,0,0,0,284.08918895
1561939200000,2019-07-01 00:00:00,ETH/USDC,290.94344973,301.05204132,279.29027012,294.11958171,1013343.59907062,3537.71436509,0,0,0,286.44019683
1561852800000,2019-06-30 00:00:00,ETH/USDC,320,322.85359774,287.331086,289.54960541,485504.45880405,1599.71644493,0,0,0,303.49407255
1561766400000,2019-06-29 00:00:00,ETH/USDC,310.998999,323.95602826,292.22,318,492870.33498598,1595.67245676,0,0,0,308.87938993
1561680000000,2019-06-28 00:00:00,ETH/USDC,293.85288397,312.60907111,290.06342754,310.998999,1021764.59423163,3365.19241378,0,0,0,303.62739142
1561593600000,2019-06-27 00:00:00,ETH/USDC,332.715001,342.84278871,272.71148113,293.85288399,1945193.08245584,6324.71243774,0,0,0,307.55439106
1561507200000,2019-06-26 00:00:00,ETH/USDC,316.97400001,362.14192617,313.47881909,335.660058,3558003.77630542,10690.2432558,0,0,0,332.82720431
