https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1693872000000,2023-09-05 00:00:00,BTC/USDC,25837.02,25892.02,25630.15,25807.13,825970.42,32.060134,241213.01,9.358379,1911,25763.22
1693785600000,2023-09-04 00:00:00,BTC/USDC,25998.91,26135.65,25686.54,25842.13,656016.07,25.328739,251847.25,9.723326,1365,25900.28
1693699200000,2023-09-03 00:00:00,BTC/USDC,25900.44,26135.65,25844.33,25997.43,823117.04,31.731641,211579.2,8.155611,1808,25940
1693612800000,2023-09-02 00:00:00,BTC/USDC,25817.86,25995.49,25780.16,25900.91,770023.53,29.78737,195126.07,7.546093,1727,25850.72
1693526400000,2023-09-01 00:00:00,BTC/USDC,25988.12,26191.93,25418.8,25816.57,410249.93,15.821579,69272.04,2.668194,985,25930.79
1693440000000,2023-08-31 00:00:00,BTC/USDC,27356.94,27577.22,25801.84,26002.97,1136267.58,42.252512,473769.24,17.546368,2147,26901.9
1693353600000,2023-08-30 00:00:00,BTC/USDC,27740.9,27783.72,27094.79,27353.32,1003180.3,36.610507,715866.78,26.120198,1959,27401.85
1693267200000,2023-08-29 00:00:00,BTC/USDC,26132.3,28098.61,25980.57,27749.59,794666.67,29.82536,617818.46,23.18492,1898,26668.74
1693180800000,2023-08-28 00:00:00,BTC/USDC,26144.76,26248.28,25908.58,26117.81,825695.77,31.648241,427564.11,16.390945,1779,26089.91
1693094400000,2023-08-27 00:00:00,BTC/USDC,26052.52,26218.69,25989.84,26111.86,497616.9,19.056565,167295.31,6.402339,1036,26112.7
1693008000000,2023-08-26 00:00:00,BTC/USDC,26095.8,26149.35,26019.66,26051.74,804269.08,30.822957,496932.05,19.04635,1564,26093.2
1692921600000,2023-08-25 00:00:00,BTC/USDC,26222.55,27335.04,25859.34,26094.51,1001079.61,38.291664,598212.57,22.891321,2107,26143.78
1692835200000,2023-08-24 00:00:00,BTC/USDC,26459.46,26597.01,25950.58,26227.41,564313.48,21.402969,197359.99,7.506054,1465,26367.02
1692748800000,2023-08-23 00:00:00,BTC/USDC,26072.12,26777,25807.37,26378.58,183215.59,7.027237,116332.06,4.455088,834,26074
1692662400000,2023-08-22 00:00:00,BTC/USDC,26157.82,26157.82,25402.08,26057.39,212006.27,8.219737,112493.89,4.353926,773,25793.99
