https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1586304000000,2020-04-08 00:00:00,LTC/USDC,44.53643268,47.15501882,44.34594943,46.5089082,114847.10526835,2491.09439589,0,0,0,46.10307239
1586217600000,2020-04-07 00:00:00,LTC/USDC,45.37608187,47.64296116,43.76827569,44.90987921,120927.11879212,2650.51517542,0,0,0,45.62400544
1586131200000,2020-04-06 00:00:00,LTC/USDC,40.62450705,45.05832276,40.56231693,45.05832276,95242.4031788,2233.97623721,0,0,0,42.63357935
1586044800000,2020-04-05 00:00:00,LTC/USDC,40.92175042,40.97362652,39.98223247,40.4108992,36380.85935502,900.27688434,0,0,0,40.41074472
1585958400000,2020-04-04 00:00:00,LTC/USDC,40.49041403,41.27709914,39.66491326,40.53423651,53473.81770788,1319.70730788,0,0,0,40.5194526
1585872000000,2020-04-03 00:00:00,LTC/USDC,39.93737245,41.27709914,39.84428137,40.47180057,61784.19011456,1527.68965909,0,0,0,40.44289345
1585785600000,2020-04-02 00:00:00,LTC/USDC,39.28,42.95481263,39.12491553,39.8,75571.30267553,1876.03176084,0,0,0,40.28252839
1585699200000,2020-04-01 00:00:00,LTC/USDC,39.04701147,39.56783101,37.20107386,39.28,69925.59852227,1822.9446124,0,0,0,38.35859742
1585612800000,2020-03-31 00:00:00,LTC/USDC,38.98402015,39.35011227,38.43461297,39.32358666,36911.19312088,950.39665441,0,0,0,38.83767156
1585526400000,2020-03-30 00:00:00,LTC/USDC,37.4535854,39.71779198,37.4535854,39.03211399,97935.60035389,2508.97558819,0,0,0,39.03409854
1585440000000,2020-03-29 00:00:00,LTC/USDC,38.96219875,38.96219875,37.14832993,37.20107386,93810.32087873,2467.22449987,0,0,0,38.0226124
1585353600000,2020-03-28 00:00:00,LTC/USDC,37.81404923,39.41798078,36.69749479,39.03780979,135321.13296445,3570.29298321,0,0,0,37.90196871
1585267200000,2020-03-27 00:00:00,LTC/USDC,40.60988639,41.317,38.02301667,38.19303766,179902.65251343,4530.15347033,0,0,0,39.71226442
1585180800000,2020-03-26 00:00:00,LTC/USDC,39.35011227,40.30209033,38.54751379,40.30209033,71056.66525848,1808.68479775,0,0,0,39.2863728
1585094400000,2020-03-25 00:00:00,LTC/USDC,40.32165585,41.11812565,38.3195526,39.22717508,88981.84199533,2248.77664432,0,0,0,39.56899953
1585008000000,2020-03-24 00:00:00,LTC/USDC,39.35011227,41.60731591,38.5201275,40.62861576,70667.50422454,1770.5176504,0,0,0,39.91347062
1584921600000,2020-03-23 00:00:00,LTC/USDC,35.38056702,40,34.6399664,38.96850769,305087.27721873,8248.27844995,0,0,0,36.98799441
1584835200000,2020-03-22 00:00:00,LTC/USDC,38.37735397,39.66491317,34.91708613,35.4779942,126533.54339213,3417.0681959,0,0,0,37.02985604
1584748800000,2020-03-21 00:00:00,LTC/USDC,37.81318986,39.75987837,36.336296,38.11569537,161976.22882543,4246.24164816,0,0,0,38.14578685
1584662400000,2020-03-20 00:00:00,LTC/USDC,39.35011227,43.80339781,34.09230757,38.15219091,305334.36233987,7798.33094692,0,0,0,39.15380924
1584576000000,2020-03-19 00:00:00,LTC/USDC,34.91708613,40.90221983,34.11509752,39.00449135,301407.70320919,8029.20754203,0,0,0,37.53891048
